Sell ID,Name,Type,Price
115,K.M. Asif,Bowler,"1,00,00,000"
116,Sonu Yadav,All-Rounder,"1,00,00,000"
117,Himanshu Sharma,Bowler,"1,00,00,000"
118,Avinash Singh,Bowler,"2,00,00,000"
119,Manoj Bhandage,All-Rounder,"1,00,00,000"
120,Will Jacks,Batter,"2,00,00,000"
121,Reece Topley,Bowler,"2,00,00,000"
122,Rajan Kumar,Bowler,"2,00,00,000"
123,Sanvir Singh,All-Rounder,"1,00,00,000"
124,Harry Brook,Batter,"2,00,00,000"
125,Akeal Hosein,Bowler,"2,00,00,000"
126,Mayank Markande,Bowler,"2,00,00,000"
127,Adil Rashid,Bowler,"2,00,00,000"
128,Vivrant Sharma,All-Rounder,"2,00,00,000"
129,Samarth Vyas,All-Rounder,"1,00,00,000"
130,Upendra Singh Yadav,Wicket-Keeper,"1,00,00,000"
131,Nitish Kumar Reddy,Wicket-Keeper,"1,00,00,000"
132,Mayank Agarwal,Batter,"2,00,00,000"
133,Mayank Dagar,All-Rounder,"2,00,00,000"
134,Robin Uthappa,Batsman,"2,00,00,000"
135,Dwayne Bravo,All-Rounder,"2,00,00,000"
136,Ambati Rayudu,Wicket Keeper,"2,00,00,000"
137,Deepak Chahar,Bowler,"2,00,00,000"
138,C.Hari Nishaanth,Batsman,"1,00,00,000"
139,Shivam Dube,All-Rounder,"2,00,00,000"
140,Chris Jordan,All-Rounder,"2,00,00,000"
141,Maheesh Theekshana,Bowler,"2,00,00,000"
142,Rajvardhan Hangargekar,All-Rounder,"2,00,00,000"
143,Simarjeet Singh,Bowler,"1,00,00,000"
144,Devon Conway,Batsman,"2,00,00,000"
145,Dwaine Pretorius,All-Rounder,"2,00,00,000"
146,Mitchell Santner,All-Rounder,"2,00,00,000"
147,Adam Milne,Bowler,"2,00,00,000"
148,Subhranshu Senapati,Batsman,"1,00,00,000"
149,Mukesh Choudhary,Bowler,"1,00,00,000"
150,Prashant Solanki,Bowler,"2,00,00,000"
151,K.Bhagath Varma,All-Rounder,"1,00,00,000"
152,David Warner,Batsman,"2,00,00,000"
153,Mitchell Marsh,All-Rounder,"2,00,00,000"
154,Kuldeep Yadav,Bowler,"2,00,00,000"
155,Ashwin Hebbar,Batsman,"1,00,00,000"
156,Sarfaraz Khan,All-Rounder,"1,00,00,000"
157,Kamlesh Nagarkoti,All-Rounder,"2,00,00,000"
158,Syed Khaleel Ahmed,Bowler,"2,00,00,000"
159,Lungisani Ngidi,Bowler,"2,00,00,000"
160,Yash Dhull,All-Rounder,"2,00,00,000"
161,Vicky Ostwal,All-Rounder,"1,00,00,000"
162,Ripal Patel,All-Rounder,"1,00,00,000"
163,Lalit Yadav,All-Rounder,"2,00,00,000"
164,Tim Seifert,Wicket Keeper,"2,00,00,000"
165,Pravin Dubey,All-Rounder,"2,00,00,000"
166,Mohammad Shami,Bowler,"2,00,00,000"
167,David Miller,Batsman,"2,00,00,000"
168,Jason Roy,Batsman,"2,00,00,000"
169,Wriddhiman  Saha,Wicket Keeper,"2,00,00,000"
170,Matthew Wade,Wicket Keeper,"2,00,00,000"
171,Abhinav Sadarangani,Batsman,"2,00,00,000"
172,Rahul Tewatia,All-Rounder,"2,00,00,000"
173,Noor  Ahmad,Bowler,"1,00,00,000"
174,R. Sai Kishore,Bowler,"2,00,00,000"
175,Dominic Drakes,All-Rounder,"2,00,00,000"
